label,0.007
numOtus,4
Otu1,"R1_3_S1,V1_4_S1,R3_1_S3,V1_6_S5,V2_2_S4,R1_5_S2,R1_3_S2,R2_1_S2,V1_4_S4,R1_3_S5,R1_3_S4,V4_2_S1,R2_3_S3,V3_2_S2,R4_1_S1,R4_1_S5,V4_2_S5,V1_6_S1,R4_1_S4,V3_4_S5,V3_2_S3,V3_2_S5,V2_4_S2,V2_2_S5,R2_3_S5,R3_3_S4,V5_3_S2,R3_3_S1,V4_2_S2,R3_3_S2,V3_4_S2,R1_5_S3,R2_3_S1,V1_6_S4,R2_3_S2,V5_3_S1,V3_4_S1,V2_4_S5,V2_4_S3,V3_2_S1,R2_1_S1,V1_2_S5,V1_4_S2,R2_3_S4,V1_2_S4,R3_3_S5,R3_1_S5,R1_3_S3,R1_5_S5,R1_5_S4,V2_2_S2,V2_4_S4,V1_2_S2,R3_3_S3,V1_4_S3,V3_4_S4,V1_6_S2,R3_1_S2,V4_2_S4,R3_1_S1,V2_4_S1,R4_1_S2,V3_4_S3,V4_2_S3,V1_6_S3,V1_2_S3,V3_2_S4,V1_4_S5,R1_5_S1,R2_1_S5,V2_2_S3,R3_1_S4,R2_1_S4,R4_1_S3,R2_1_S3"
Otu2,"R5_1_S1,R5_1_S5,V5_7_S1,R5_1_S4,R5_1_S3,R5_4_S4,R5_4_S1,V5_7_S5,R5_1_S2,R5_4_S3,R5_4_S2,R5_4_S5,V5_7_S4,V5_7_S2,V5_7_S3"
Otu3,"R5_8_S5,R5_8_S1,R5_8_S4,V5_2_S5,V5_2_S1,V5_2_S4,V5_5_S1,V5_5_S2,V5_5_S4,V5_5_S5,V5_5_S3"
Otu4,"R5_6_S1,R5_6_S3,R5_6_S4,R5_6_S5,R5_6_S2"
